name;date;country
"Deň obnovy samostatného Českého štátu, Nový rok - štátny sviatok";2024-1-1;CZ
"Veľký piatok - deň pracovného pokoja";2024-3-29;CZ
"Veľkonočný pondelok - deň pracovného pokoja";2024-4-1;CZ
"Sviatok práce - deň pracovného pokoja";2024-5-1;CZ
"Deň oslobodenia od fašizmu - 1945 - štátny sviatok";2024-5-8;CZ
"Deň slovanských vierozvestov Cyrila a Metoda - štátny sviatok";2024-7-5;CZ
"Deň upálenia majstra Jana Husa - 1415 - štátny sviatok";2024-7-6;CZ
"Deň Českej štátnosti - štátny sviatok";2024-9-28;CZ
"Deň vzniku samostatného Československého štátu - 1918 - štátny sviatok";2024-10-28;CZ
"Deň boja za slobodu a demokraciu - 1989 - štátny sviatok";2024-11-17;CZ
"Štedrý deň - deň pracovného pokoja";2024-12-24;CZ
"1.sviatok Vianočný - deň pracovného pokoja";2024-12-25;CZ
"2.sviatok Vianočný - deň pracovného pokoja";2024-12-26;CZ
"Deň vzniku Slovenskej republiky - štátny sviatok";2024-1-1;SK
"Zjavenie Pána (Traja králi) - deň pracovného pokoja";2024-1-6;SK
"Veľký piatok - deň pracovného pokoja";2024-3-29;SK
"Veľkonočný pondelok - deň pracovného pokoja";2024-4-1;SK
"Sviatok práce - deň pracovného pokoja";2024-5-1;SK
"Deň víťazstva nad fašizmom - deň pracovného pokoja";2024-5-8;SK
"Sviatok svätého Cyrila a Metoda - štátny sviatok";2024-7-5;SK
"Výročie SNP - štátny sviatok";2024-8-29;SK
"Deň Ústavy Slovenskej republiky - štátny sviatok";2024-9-1;SK
"Sedembolestná Panna Mária - deň pracovného pokoja";2024-9-15;SK
"Sviatok všetkých svätých - deň pracovného pokoja";2024-11-1;SK
"Deň boja za slobodu a demokraciu - štátny sviatok";2024-11-17;SK
"Štedrý deň - deň pracovného pokoja";2024-12-24;SK
"Prvý sviatok vianočný - deň pracovného pokoja";2024-12-25;SK
"Druhý sviatok vianočný - deň pracovného pokoja";2024-12-26;SK
